excel_row,raw_label,mapped_label,split,original_length,resampled_length
196,8,2,query,454,200
197,8,2,query,934,200
198,8,2,query,453,200
199,0,0,query,153,200
200,0,0,query,154,200
201,0,0,query,152,200
202,0,0,query,154,200
203,0,0,query,151,200
204,0,0,query,155,200
205,0,0,query,150,200
206,0,0,query,153,200
207,0,0,query,151,200
208,0,0,query,152,200
209,0,0,query,153,200
210,0,0,query,156,200
211,0,0,query,152,200
212,0,0,query,156,200
213,0,0,query,151,200
214,0,0,query,156,200
215,0,0,query,152,200
216,0,0,query,156,200
217,4,4,query,992,200
218,0,0,query,164,200
220,3,5,query,165,200
221,0,0,query,164,200
222,0,0,query,163,200
223,4,4,query,795,200
224,0,0,query,162,200
225,0,0,query,166,200
226,0,0,query,158,200
227,0,0,query,162,200
228,0,0,query,158,200
229,0,0,query,162,200
230,0,0,query,158,200
231,0,0,query,161,200
232,0,0,support,158,200
233,0,0,query,161,200
234,0,0,query,158,200
235,0,0,query,161,200
236,0,0,query,158,200
237,0,0,query,160,200
238,0,0,query,157,200
239,0,0,query,159,200
240,0,0,query,158,200
241,0,0,query,162,200
242,0,0,query,158,200
243,0,0,query,161,200
244,0,0,query,157,200
245,0,0,query,160,200
246,0,0,query,156,200
247,0,0,query,163,200
248,0,0,query,158,200
249,0,0,query,161,200
250,0,0,query,159,200
251,0,0,query,160,200
252,0,0,query,157,200
253,0,0,query,161,200
254,0,0,query,159,200
255,0,0,query,160,200
256,0,0,query,158,200
257,0,0,query,161,200
258,0,0,query,157,200
259,0,0,query,158,200
260,0,0,query,155,200
261,0,0,query,157,200
262,0,0,query,155,200
263,0,0,query,161,200
264,0,0,query,156,200
265,0,0,query,160,200
266,0,0,query,156,200
267,0,0,query,159,200
268,0,0,query,156,200
269,0,0,query,159,200
270,0,0,query,155,200
271,0,0,query,157,200
272,0,0,query,154,200
273,0,0,query,158,200
274,0,0,query,158,200
275,0,0,query,162,200
276,0,0,query,157,200
277,0,0,query,158,200
278,0,0,query,155,200
279,0,0,query,157,200
280,0,0,query,157,200
281,0,0,query,158,200
282,0,0,query,156,200
283,0,0,query,158,200
284,0,0,query,156,200
285,0,0,query,157,200
286,0,0,query,154,200
287,0,0,query,158,200
288,0,0,query,157,200
289,0,0,query,157,200
290,0,0,query,154,200
291,0,0,query,158,200
292,0,0,query,157,200
293,0,0,query,160,200
294,0,0,query,153,200
295,0,0,query,156,200
296,0,0,query,153,200
297,0,0,query,156,200
298,0,0,query,153,200
299,0,0,query,158,200
300,0,0,query,153,200
301,0,0,query,155,200
302,0,0,query,153,200
303,0,0,query,157,200
304,0,0,query,156,200
305,0,0,query,158,200
306,0,0,query,157,200
307,0,0,query,153,200
308,0,0,query,156,200
309,0,0,query,154,200
310,0,0,query,155,200
311,0,0,query,155,200
312,0,0,query,154,200
313,0,0,query,157,200
314,0,0,query,153,200
315,0,0,query,153,200
316,0,0,query,152,200
317,0,0,query,151,200
318,0,0,query,153,200
319,0,0,query,152,200
320,0,0,query,153,200
321,0,0,query,150,200
322,0,0,query,152,200
323,0,0,query,152,200
324,0,0,query,153,200
325,0,0,query,156,200
326,0,0,query,153,200
327,0,0,query,151,200
328,0,0,query,153,200
329,0,0,query,150,200
330,0,0,query,92,200
331,8,2,query,277,200
332,8,2,query,377,200
333,8,2,query,384,200
334,8,2,query,641,200
335,4,4,query,992,200
336,8,2,query,643,200
337,8,2,query,992,200
338,8,2,query,631,200
339,8,2,support,390,200
340,8,2,query,811,200
341,8,2,query,314,200
342,8,2,query,332,200
343,8,2,query,669,200
344,8,2,query,992,200
345,9,3,query,903,200
346,8,2,query,459,200
347,8,2,query,712,200
348,8,2,query,992,200
349,8,2,query,992,200
350,0,0,query,156,200
351,0,0,query,155,200
352,0,0,query,160,200
353,0,0,query,156,200
354,0,0,query,159,200
355,0,0,query,154,200
356,0,0,query,156,200
357,0,0,query,155,200
358,0,0,query,157,200
359,0,0,query,155,200
360,0,0,query,159,200
361,0,0,query,153,200
362,0,0,query,154,200
363,0,0,query,150,200
364,0,0,query,153,200
365,0,0,query,151,200
366,0,0,query,152,200
367,0,0,query,149,200
368,0,0,query,151,200
369,0,0,query,152,200
370,0,0,query,154,200
371,0,0,query,167,200
372,0,0,query,167,200
373,6,6,support,168,200
374,4,4,query,986,200
376,0,0,query,166,200
377,0,0,query,166,200
378,0,0,query,163,200
379,0,0,query,164,200
380,0,0,query,166,200
381,0,0,query,166,200
382,0,0,query,162,200
383,0,0,query,166,200
384,0,0,query,165,200
385,0,0,query,167,200
386,0,0,query,166,200
387,0,0,query,165,200
388,0,0,query,165,200
389,0,0,query,165,200
390,0,0,query,154,200
391,8,2,query,609,200
392,8,2,support,740,200
393,3,5,query,158,200
394,8,2,query,501,200
395,8,2,query,644,200
396,8,2,query,442,200
397,0,0,query,148,200
398,0,0,query,798,200
399,0,0,query,151,200
400,0,0,query,992,200
401,0,0,query,147,200
402,0,0,query,149,200
403,0,0,query,149,200
404,0,0,query,153,200
405,0,0,query,152,200
406,10,1,query,151,200
407,10,1,query,151,200
408,0,0,query,151,200
409,0,0,query,151,200
410,0,0,query,153,200
411,0,0,query,154,200
412,0,0,query,154,200
413,0,0,query,156,200
414,10,1,query,154,200
415,0,0,query,152,200
416,0,0,query,152,200
417,0,0,query,152,200
418,0,0,query,152,200
419,0,0,query,151,200
420,0,0,query,156,200
421,0,0,query,153,200
422,10,1,query,153,200
423,0,0,query,154,200
424,10,1,query,153,200
425,0,0,query,153,200
426,0,0,query,154,200
427,0,0,query,154,200
428,0,0,query,152,200
429,0,0,query,152,200
430,0,0,query,152,200
431,0,0,query,151,200
432,0,0,query,150,200
433,0,0,query,151,200
434,0,0,query,151,200
435,0,0,query,161,200
436,0,0,query,153,200
437,0,0,query,153,200
438,0,0,query,152,200
439,0,0,query,155,200
440,0,0,query,152,200
441,0,0,query,153,200
442,0,0,query,151,200
443,0,0,query,153,200
444,0,0,query,150,200
445,0,0,query,152,200
446,10,1,query,149,200
447,0,0,query,151,200
448,10,1,query,150,200
449,0,0,query,152,200
450,0,0,query,153,200
451,8,2,query,661,200
452,8,2,query,768,200
453,8,2,query,527,200
454,8,2,query,407,200
455,8,2,support,370,200
456,8,2,query,603,200
457,8,2,query,313,200
458,4,4,query,913,200
459,8,2,query,299,200
460,8,2,query,401,200
461,8,2,query,677,200
462,8,2,query,603,200
463,8,2,query,475,200
464,8,2,query,714,200
465,9,3,query,992,200
466,9,3,query,992,200
467,8,2,query,353,200
468,8,2,query,329,200
469,8,2,query,619,200
470,8,2,query,502,200
471,8,2,query,992,200
472,8,2,query,992,200
473,8,2,query,386,200
474,8,2,query,375,200
475,8,2,query,648,200
476,8,2,query,706,200
477,8,2,query,992,200
478,8,2,query,813,200
479,9,3,query,70,200
480,8,2,query,565,200
481,8,2,query,432,200
482,8,2,query,716,200
483,1,7,query,49,200
484,8,2,query,867,200
485,4,4,query,992,200
486,1,7,support,81,200
487,8,2,query,677,200
488,9,3,query,74,200
489,9,3,query,992,200
490,1,7,support,35,200
491,8,2,query,500,200
492,8,2,query,811,200
493,0,0,query,161,200
494,0,0,query,151,200
495,0,0,query,163,200
496,0,0,query,157,200
497,0,0,query,162,200
498,0,0,query,157,200
499,0,0,query,157,200
500,0,0,query,156,200
501,0,0,query,157,200
502,0,0,query,153,200
503,0,0,query,156,200
504,0,0,query,153,200
505,0,0,query,161,200
506,0,0,query,148,200
507,0,0,query,162,200
508,0,0,query,155,200
509,0,0,query,154,200
510,0,0,query,151,200
511,0,0,query,160,200
512,0,0,query,152,200
513,0,0,query,160,200
514,0,0,query,150,200
515,0,0,query,157,200
516,4,4,query,878,200
517,0,0,query,150,200
518,8,2,query,731,200
519,0,0,query,147,200
520,9,3,query,992,200
521,0,0,query,146,200
522,0,0,query,138,200
523,0,0,query,143,200
524,0,0,query,138,200
525,0,0,query,143,200
526,0,0,query,140,200
527,0,0,query,144,200
528,0,0,query,139,200
529,0,0,query,148,200
530,0,0,query,145,200
531,0,0,query,146,200
532,0,0,query,143,200
533,0,0,query,146,200
534,0,0,query,146,200
535,0,0,query,146,200
536,0,0,query,146,200
537,0,0,query,145,200
538,0,0,query,140,200
539,0,0,query,147,200
540,0,0,query,142,200
541,0,0,query,146,200
542,0,0,query,141,200
543,0,0,query,147,200
544,0,0,query,141,200
545,0,0,query,148,200
546,0,0,query,140,200
547,0,0,query,147,200
548,0,0,query,142,200
549,0,0,query,150,200
550,0,0,query,140,200
551,0,0,query,150,200
552,0,0,query,143,200
553,0,0,query,152,200
554,0,0,query,143,200
555,0,0,query,149,200
556,0,0,query,142,200
557,0,0,query,149,200
558,0,0,query,145,200
559,0,0,query,151,200
560,0,0,query,142,200
561,0,0,query,152,200
562,0,0,query,143,200
563,0,0,query,150,200
564,0,0,query,142,200
565,0,0,query,148,200
566,0,0,query,148,200
567,0,0,query,151,200
568,0,0,query,147,200
569,0,0,query,149,200
570,0,0,query,143,200
571,0,0,query,151,200
572,0,0,query,142,200
573,0,0,query,147,200
574,0,0,query,142,200
575,0,0,query,149,200
576,0,0,query,141,200
577,0,0,query,146,200
578,0,0,query,141,200
579,0,0,query,154,200
580,0,0,query,144,200
581,0,0,query,152,200
582,0,0,query,142,200
583,0,0,query,151,200
584,0,0,query,144,200
585,0,0,query,150,200
586,0,0,query,141,200
587,0,0,query,150,200
588,0,0,query,142,200
589,0,0,query,148,200
590,0,0,query,142,200
591,0,0,query,146,200
592,0,0,query,142,200
593,0,0,query,150,200
594,0,0,query,151,200
595,0,0,query,146,200
596,0,0,query,149,200
597,0,0,query,146,200
598,0,0,query,148,200
599,0,0,query,143,200
600,0,0,query,149,200
601,0,0,query,146,200
602,0,0,query,150,200
603,0,0,query,147,200
604,0,0,query,152,200
605,0,0,query,147,200
606,0,0,query,152,200
607,10,1,query,148,200
608,0,0,query,153,200
609,0,0,query,149,200
610,10,1,query,155,200
611,0,0,query,150,200
612,0,0,query,150,200
613,0,0,query,146,200
614,0,0,query,150,200
615,0,0,query,146,200
616,0,0,query,150,200
617,0,0,query,146,200
618,0,0,query,150,200
619,0,0,query,146,200
620,0,0,query,150,200
621,0,0,query,147,200
622,0,0,query,151,200
623,0,0,query,147,200
624,0,0,query,149,200
625,0,0,query,147,200
626,0,0,query,148,200
627,0,0,query,146,200
628,0,0,query,150,200
629,0,0,query,145,200
630,0,0,query,150,200
631,0,0,query,145,200
632,0,0,query,148,200
633,0,0,query,144,200
634,0,0,query,150,200
635,0,0,query,145,200
636,0,0,query,150,200
637,0,0,query,145,200
638,10,1,query,150,200
639,0,0,query,145,200
640,0,0,query,150,200
641,0,0,query,147,200
642,0,0,query,151,200
643,0,0,query,143,200
644,0,0,query,149,200
645,0,0,query,145,200
646,0,0,query,79,200
647,0,0,query,149,200
648,0,0,query,148,200
649,4,4,query,827,200
650,4,4,query,992,200
651,4,4,query,793,200
652,0,0,query,145,200
653,0,0,query,149,200
654,0,0,query,144,200
655,0,0,query,150,200
656,0,0,query,144,200
657,10,1,query,151,200
658,0,0,query,145,200
659,0,0,query,149,200
660,0,0,query,146,200
661,8,2,query,474,200
662,8,2,query,399,200
663,10,1,query,153,200
664,8,2,query,908,200
665,0,0,query,144,200
666,0,0,query,148,200
667,3,5,query,150,200
668,3,5,query,155,200
669,3,5,query,149,200
670,3,5,query,154,200
671,3,5,query,151,200
672,8,2,query,328,200
673,3,5,support,157,200
674,4,4,query,940,200
675,0,0,query,149,200
676,4,4,query,924,200
677,8,2,query,149,200
678,0,0,query,152,200
679,0,0,query,141,200
680,0,0,query,144,200
681,0,0,query,140,200
682,10,1,query,145,200
683,0,0,query,142,200
684,0,0,query,145,200
685,0,0,query,141,200
686,0,0,query,143,200
687,0,0,query,143,200
688,10,1,query,144,200
689,0,0,query,142,200
690,10,1,support,145,200
691,0,0,query,142,200
692,0,0,query,147,200
693,0,0,query,142,200
694,0,0,query,147,200
695,0,0,query,142,200
696,0,0,query,147,200
697,0,0,query,143,200
698,0,0,query,150,200
699,10,1,query,144,200
700,10,1,query,147,200
701,0,0,query,143,200
702,0,0,query,148,200
703,0,0,query,143,200
704,0,0,query,147,200
705,0,0,query,142,200
706,0,0,query,150,200
707,0,0,query,143,200
708,0,0,query,152,200
709,0,0,query,147,200
710,0,0,query,152,200
711,0,0,query,146,200
712,0,0,query,152,200
713,0,0,query,145,200
714,0,0,query,150,200
715,0,0,query,145,200
716,0,0,query,153,200
717,0,0,query,146,200
718,10,1,query,151,200
719,0,0,query,145,200
720,0,0,query,151,200
721,0,0,query,144,200
722,0,0,query,149,200
723,0,0,query,144,200
724,0,0,query,150,200
725,0,0,query,145,200
726,0,0,query,152,200
727,0,0,query,147,200
728,0,0,query,153,200
729,0,0,query,147,200
730,0,0,query,152,200
731,0,0,query,145,200
732,0,0,query,152,200
733,10,1,query,148,200
734,0,0,query,152,200
735,0,0,query,146,200
736,0,0,query,152,200
737,0,0,query,145,200
738,0,0,query,151,200
739,0,0,query,147,200
740,10,1,query,153,200
741,0,0,query,150,200
742,10,1,query,152,200
743,0,0,query,146,200
744,0,0,query,151,200
745,0,0,query,141,200
746,0,0,query,147,200
747,0,0,query,145,200
748,0,0,query,150,200
749,0,0,query,145,200
750,0,0,query,150,200
751,0,0,query,149,200
752,0,0,query,152,200
753,10,1,query,148,200
754,0,0,query,152,200
755,0,0,query,148,200
756,0,0,query,154,200
757,0,0,query,149,200
758,0,0,query,153,200
759,0,0,query,149,200
760,0,0,query,153,200
761,0,0,query,149,200
762,0,0,query,153,200
763,0,0,query,149,200
764,0,0,query,155,200
765,0,0,query,146,200
766,0,0,query,152,200
767,0,0,query,145,200
768,0,0,query,152,200
769,0,0,query,147,200
770,0,0,query,151,200
771,0,0,query,147,200
772,0,0,query,152,200
773,0,0,query,147,200
774,0,0,query,152,200
775,10,1,query,147,200
776,10,1,query,152,200
777,10,1,query,147,200
778,0,0,query,152,200
779,10,1,query,163,200
780,0,0,query,154,200
781,0,0,query,149,200
782,10,1,query,159,200
783,0,0,query,161,200
784,0,0,query,157,200
785,0,0,query,162,200
786,0,0,query,158,200
787,10,1,query,161,200
788,10,1,query,158,200
789,0,0,query,160,200
790,0,0,query,159,200
791,0,0,query,161,200
792,0,0,query,158,200
793,10,1,query,160,200
794,10,1,query,157,200
795,0,0,query,150,200
796,0,0,query,156,200
797,0,0,query,157,200
798,0,0,query,156,200
799,0,0,query,150,200
800,0,0,query,157,200
801,10,1,query,158,200
802,0,0,query,153,200
803,0,0,query,154,200
804,0,0,query,154,200
805,0,0,query,155,200
806,0,0,query,156,200
807,0,0,query,150,200
808,0,0,query,154,200
809,0,0,query,155,200
810,0,0,query,150,200
811,0,0,query,156,200
812,0,0,query,156,200
813,6,6,query,164,200
814,4,4,query,812,200
815,6,6,query,159,200
816,6,6,query,162,200
817,3,5,query,162,200
818,4,4,query,535,200
819,6,6,query,155,200
820,3,5,query,156,200
821,4,4,query,534,200
822,6,6,support,153,200
823,3,5,query,153,200
825,10,1,query,146,200
826,6,6,query,155,200
827,3,5,query,154,200
828,4,4,support,808,200
829,0,0,query,151,200
830,4,4,query,487,200
831,10,1,query,149,200
832,0,0,query,146,200
833,10,1,query,149,200
834,8,2,query,419,200
835,8,2,query,438,200
836,3,5,query,156,200
837,8,2,query,389,200
838,8,2,query,342,200
839,4,4,query,766,200
840,4,4,query,992,200
841,3,5,query,150,200
842,3,5,query,148,200
843,0,0,query,145,200
844,0,0,query,145,200
845,10,1,query,145,200
846,0,0,query,144,200
847,0,0,query,146,200
848,0,0,query,145,200
849,10,1,query,146,200
850,10,1,query,146,200
851,0,0,query,145,200
852,10,1,query,146,200
853,10,1,query,134,200
854,10,1,query,144,200
855,0,0,query,146,200
856,0,0,query,147,200
857,10,1,query,146,200
858,10,1,query,146,200
859,0,0,query,147,200
860,10,1,query,146,200
861,0,0,query,147,200
862,0,0,query,145,200
863,10,1,query,146,200
864,0,0,query,146,200
865,10,1,query,148,200
866,0,0,query,150,200
867,0,0,query,143,200
868,0,0,query,148,200
869,0,0,query,148,200
870,0,0,query,147,200
871,10,1,query,147,200
872,0,0,query,147,200
873,0,0,query,147,200
874,0,0,query,149,200
875,0,0,query,147,200
876,10,1,query,148,200
877,10,1,query,150,200
878,0,0,query,148,200
879,10,1,query,149,200
880,10,1,query,150,200
881,10,1,query,151,200
882,0,0,query,149,200
883,0,0,query,149,200
884,0,0,query,148,200
885,0,0,query,148,200
886,10,1,query,150,200
887,10,1,query,148,200
888,0,0,query,151,200
889,0,0,query,150,200
890,10,1,query,148,200
891,0,0,query,148,200
892,0,0,query,149,200
893,0,0,query,148,200
894,0,0,query,148,200
895,0,0,query,147,200
896,0,0,query,148,200
897,0,0,query,137,200
898,0,0,query,149,200
899,0,0,query,147,200
900,10,1,query,149,200
901,0,0,query,147,200
902,0,0,query,149,200
903,0,0,query,149,200
904,0,0,query,148,200
905,0,0,query,148,200
906,0,0,query,150,200
907,0,0,query,148,200
908,0,0,query,150,200
909,0,0,query,149,200
910,0,0,query,149,200
911,10,1,query,148,200
912,10,1,query,149,200
913,0,0,query,149,200
914,0,0,query,151,200
915,10,1,query,148,200
916,10,1,query,150,200
917,0,0,query,146,200
918,0,0,query,148,200
919,0,0,query,147,200
920,10,1,query,148,200
921,10,1,query,148,200
922,0,0,query,151,200
923,0,0,query,147,200
924,0,0,query,148,200
925,0,0,query,145,200
926,10,1,query,147,200
927,0,0,query,146,200
928,0,0,query,147,200
929,10,1,query,151,200
930,0,0,query,148,200
931,0,0,query,147,200
932,0,0,query,150,200
933,0,0,query,147,200
934,10,1,query,145,200
935,10,1,query,147,200
936,0,0,query,147,200
937,0,0,query,147,200
938,10,1,query,148,200
939,10,1,query,148,200
940,0,0,query,149,200
941,0,0,query,147,200
942,0,0,query,151,200
943,10,1,query,148,200
944,0,0,query,148,200
945,0,0,query,146,200
946,0,0,query,148,200
947,0,0,query,146,200
948,0,0,query,149,200
949,0,0,query,147,200
950,0,0,query,151,200
951,0,0,query,149,200
952,0,0,query,147,200
953,0,0,query,148,200
954,0,0,query,149,200
955,0,0,query,148,200
956,0,0,query,150,200
957,0,0,query,146,200
958,0,0,query,150,200
959,0,0,query,147,200
960,0,0,query,150,200
961,0,0,query,147,200
962,10,1,query,149,200
963,10,1,query,147,200
964,10,1,query,149,200
965,0,0,query,145,200
966,10,1,query,151,200
967,10,1,query,146,200
968,0,0,query,148,200
969,0,0,query,146,200
970,0,0,query,149,200
971,0,0,query,145,200
972,0,0,query,153,200
973,10,1,query,155,200
974,10,1,query,157,200
975,0,0,query,156,200
976,10,1,query,156,200
977,10,1,query,157,200
978,0,0,query,141,200
979,9,3,query,144,200
980,0,0,query,156,200
981,10,1,query,157,200
982,10,1,query,156,200
983,0,0,query,158,200
984,0,0,query,155,200
985,0,0,support,158,200
986,10,1,query,157,200
987,0,0,query,159,200
988,10,1,query,156,200
989,0,0,query,153,200
990,0,0,query,130,200
991,10,1,query,141,200
992,10,1,query,153,200
993,0,0,query,154,200
994,0,0,query,154,200
995,0,0,query,157,200
996,0,0,query,155,200
997,1,7,support,94,200
998,0,0,query,170,200
999,0,0,support,166,200
1000,8,2,query,313,200
1001,9,3,query,954,200
1002,8,2,query,719,200
1003,0,0,query,166,200
1004,8,2,query,992,200
1005,0,0,query,164,200
1006,10,1,query,169,200
1007,0,0,query,164,200
1008,0,0,query,168,200
1009,3,5,query,534,200
1010,0,0,query,164,200
1011,6,6,query,173,200
1012,10,1,query,168,200
1013,10,1,query,174,200
1014,9,3,query,992,200
1015,9,3,query,992,200
1016,0,0,query,168,200
1017,10,1,query,171,200
1018,10,1,query,163,200
1019,10,1,query,170,200
1020,0,0,query,163,200
1021,10,1,query,167,200
1022,0,0,query,163,200
1023,0,0,query,168,200
1024,0,0,query,162,200
1025,10,1,query,170,200
1026,0,0,query,165,200
1027,9,3,query,147,200
1028,9,3,query,147,200
1029,10,1,query,157,200
1030,0,0,query,157,200
1031,0,0,query,160,200
1032,3,5,query,134,200
1033,0,0,query,157,200
1034,0,0,query,154,200
1035,0,0,query,158,200
1036,10,1,query,156,200
1037,0,0,query,160,200
1038,10,1,query,159,200
1039,0,0,query,161,200
1040,0,0,query,161,200
1041,0,0,query,146,200
1042,0,0,query,144,200
1043,10,1,query,161,200
1044,0,0,query,157,200
1045,0,0,query,161,200
1046,10,1,query,151,200
1047,10,1,query,160,200
1048,0,0,query,158,200
1049,0,0,query,162,200
1050,0,0,query,163,200
1051,0,0,query,161,200
1052,0,0,query,161,200
1053,10,1,query,161,200
1054,9,3,query,137,200
1055,0,0,query,148,200
1056,10,1,query,159,200
1057,10,1,query,161,200
1058,0,0,query,147,200
1059,0,0,query,163,200
1060,10,1,query,162,200
1061,10,1,query,147,200
1062,0,0,query,157,200
1063,0,0,query,159,200
1064,0,0,query,145,200
1065,10,1,query,158,200
1066,0,0,query,155,200
1067,0,0,query,157,200
1068,0,0,query,156,200
1069,10,1,query,159,200
1070,0,0,query,157,200
1071,0,0,query,159,200
1072,0,0,query,159,200
1073,10,1,query,162,200
1074,9,3,query,148,200
1075,0,0,query,163,200
1076,9,3,support,149,200
1077,10,1,query,159,200
1078,0,0,query,144,200
1079,0,0,query,161,200
1080,10,1,query,159,200
1081,10,1,query,149,200
1082,0,0,query,157,200
1083,0,0,query,162,200
1084,0,0,query,161,200
1085,0,0,query,162,200
1086,0,0,query,150,200
1087,9,3,query,150,200
1088,0,0,query,147,200
1089,0,0,query,148,200
1090,0,0,query,159,200
1091,0,0,query,160,200
1092,0,0,query,159,200
1093,0,0,query,159,200
1094,10,1,query,160,200
1095,0,0,query,160,200
1096,10,1,query,159,200
1097,0,0,query,147,200
1098,10,1,query,144,200
1099,8,2,query,992,200
1100,8,2,query,451,200
1101,0,0,query,169,200
1102,0,0,query,161,200
1103,0,0,query,167,200
1104,0,0,query,158,200
1105,6,6,query,168,200
1106,0,0,query,160,200
1107,0,0,query,165,200
1108,0,0,query,160,200
1109,6,6,query,170,200
1110,0,0,query,162,200
1111,0,0,query,167,200
1112,0,0,query,158,200
1113,6,6,support,168,200
1114,0,0,query,160,200
1115,4,4,query,916,200
1116,8,2,query,707,200
1117,0,0,query,159,200
1118,0,0,query,171,200
1119,8,2,query,454,200
1120,0,0,query,153,200
1121,0,0,query,167,200
1122,0,0,query,158,200
1123,0,0,query,169,200
1124,0,0,query,158,200
1125,0,0,query,168,200
1126,0,0,query,159,200
1127,0,0,query,169,200
1128,0,0,query,159,200
1129,0,0,query,168,200
1130,0,0,query,158,200
1131,0,0,query,168,200
1132,6,6,query,165,200
1133,6,6,query,180,200
1134,4,4,query,992,200
1135,0,0,query,163,200
1136,4,4,query,992,200
1137,4,4,query,761,200
1138,0,0,query,167,200
1139,3,5,support,160,200
1140,3,5,query,167,200
1141,0,0,query,157,200
1142,0,0,query,166,200
1143,0,0,query,157,200
1144,0,0,query,167,200
1145,0,0,query,158,200
1146,0,0,query,165,200
1147,0,0,query,157,200
1148,0,0,query,165,200
1149,0,0,query,156,200
1150,0,0,query,163,200
1151,0,0,query,154,200
1152,0,0,query,163,200
1153,0,0,query,154,200
1154,0,0,query,165,200
